Age,BI-RADS,Shape,Margin,Density,Severity
18,4.0,1.0,1.0,3.0,0.0
19,4.0,1.5,1.0,3.0,0.0
20,4.0,1.0,1.0,3.0,0.0
21,3.6666666666666665,2.0,1.0,3.0,0.0
22,4.0,1.3333333333333333,1.0,3.0,0.0
23,3.4,1.6,1.0,3.0,0.0
24,4.0,1.75,1.0,2.5,0.0
25,4.0,1.5,1.0,3.0,0.0
26,4.0,1.0,1.0,3.0,0.0
27,3.8,2.0,1.0,3.0,0.0
28,4.0,2.2,1.6,3.0,0.2
29,4.0,1.0,1.0,3.0,0.0
30,4.0,1.0,1.0,3.0,0.0
31,4.166666666666667,1.8333333333333333,1.5,2.8333333333333335,0.16666666666666666
32,4.0,1.8333333333333333,1.3333333333333333,3.0,0.0
33,4.142857142857143,2.142857142857143,2.2857142857142856,3.0,0.14285714285714285
34,4.142857142857143,2.7142857142857144,2.4285714285714284,2.857142857142857,0.2857142857142857
35,3.8181818181818183,1.7272727272727273,1.5454545454545454,2.8181818181818183,0.09090909090909091
36,4.1,2.3,2.0,2.9,0.2
37,4.25,2.25,2.0,2.75,0.25
38,4.111111111111111,2.0,1.7777777777777777,2.888888888888889,0.1111111111111111
39,3.888888888888889,1.7777777777777777,2.2222222222222223,2.888888888888889,0.1111111111111111
40,4.333333333333333,2.5833333333333335,2.5833333333333335,2.75,0.5
41,4.333333333333333,2.1333333333333333,1.6,2.8666666666666667,0.26666666666666666
42,4.117647058823529,2.2941176470588234,2.176470588235294,2.7058823529411766,0.35294117647058826
43,4.142857142857143,2.142857142857143,1.7857142857142858,2.9285714285714284,0.42857142857142855
44,4.333333333333333,2.6666666666666665,2.7333333333333334,2.7333333333333334,0.3333333333333333
45,3.8947368421052633,2.0,1.8421052631578947,2.9473684210526314,0.21052631578947367
46,6.12,2.44,2.36,2.76,0.28
47,4.25,2.6666666666666665,2.5,2.75,0.16666666666666666
48,3.75,2.875,3.0,3.0,0.375
49,4.142857142857143,2.761904761904762,2.5238095238095237,2.857142857142857,0.3333333333333333
50,4.117647058823529,2.6470588235294117,2.5294117647058822,3.0,0.4117647058823529
51,4.166666666666667,2.6666666666666665,2.9166666666666665,3.0,0.3333333333333333
52,4.5,3.2222222222222223,3.388888888888889,3.0,0.6111111111111112
53,4.136363636363637,2.5,2.5,3.0,0.18181818181818182
54,4.409090909090909,2.590909090909091,2.8181818181818183,3.0,0.5
55,4.608695652173913,3.217391304347826,3.260869565217391,2.9565217391304346,0.5652173913043478
56,4.2272727272727275,2.590909090909091,2.590909090909091,2.909090909090909,0.36363636363636365
57,4.222222222222222,2.7037037037037037,2.962962962962963,3.0,0.4074074074074074
58,4.315789473684211,3.1052631578947367,3.4210526315789473,2.8947368421052633,0.631578947368421
59,4.379310344827586,2.896551724137931,3.0,2.896551724137931,0.4827586206896552
60,4.666666666666667,3.2222222222222223,2.9444444444444446,2.888888888888889,0.5555555555555556
61,4.583333333333333,2.8333333333333335,3.25,3.0,0.6666666666666666
62,4.409090909090909,3.0454545454545454,3.409090909090909,2.909090909090909,0.5909090909090909
63,4.473684210526316,2.789473684210526,2.8947368421052633,3.0,0.47368421052631576
64,4.208333333333333,2.75,3.0833333333333335,2.9583333333333335,0.4583333333333333
65,4.5,3.25,3.5,2.95,0.7
66,4.642857142857143,3.1785714285714284,3.2857142857142856,3.0357142857142856,0.6428571428571429
67,4.633333333333334,3.433333333333333,3.9,2.8333333333333335,0.7666666666666667
68,4.473684210526316,3.263157894736842,3.1578947368421053,3.0,0.7894736842105263
69,4.083333333333333,2.75,3.0833333333333335,3.0,0.5833333333333334
70,4.4,2.9,3.0,2.7,0.8
71,4.421052631578948,3.5789473684210527,3.5789473684210527,3.0,0.8947368421052632
72,4.266666666666667,3.2666666666666666,3.066666666666667,3.0,0.6666666666666666
73,4.444444444444445,3.3333333333333335,3.111111111111111,2.7777777777777777,0.5555555555555556
74,4.7272727272727275,3.090909090909091,2.6363636363636362,2.6363636363636362,0.9090909090909091
75,5.0,4.0,4.142857142857143,3.0,1.0
76,4.571428571428571,3.357142857142857,3.5714285714285716,2.9285714285714284,0.7857142857142857
77,4.5,3.5,3.875,3.125,0.75
78,4.75,3.25,3.25,2.5,0.75
79,4.714285714285714,2.7142857142857144,3.4285714285714284,2.857142857142857,0.8571428571428571
80,4.909090909090909,3.909090909090909,4.181818181818182,3.0,1.0
81,4.5,2.0,2.5,3.0,0.5
83,5.0,3.8,4.0,2.8,1.0
84,5.0,3.6666666666666665,4.0,3.0,0.6666666666666666
85,5.0,3.75,4.0,3.0,1.0
86,5.0,3.4,3.4,3.0,0.8
87,5.0,4.0,4.6,3.0,1.0
88,4.0,4.0,4.0,3.0,1.0
93,5.0,1.0,5.0,3.0,1.0
96,5.0,3.0,4.0,3.0,1.0
